,B Cells,Blood Cells,CM1,CM2,CM3,CM4,CM5,EC,EPI,EndoEC,FB,Glial,Macrophage,Pericyte/SMC,T cells
Mettl9,0.03280335,0.023385935,0.22572973,0.40874505,0.28990138,0.6327203,0.35709792,0.30329534,1.0539337,0.42485562,0.6155096,0.2223412,0.32795277,0.21089935,0.17629081
Mex3a,0.018446064,0.021506691,0.012415392,0.0164313,0.008321669,0.032670353,0.01224661,0.113000825,0.17040108,0.1291603,0.12963319,0.18655325,0.0047205314,0.0787917,0.035289183
Mex3b,0.011756793,0.015884884,0.004468375,0.0195415,0.012954445,0.048761163,0.01603119,0.11522254,0.1263984,0.09754828,0.119116865,0.11972315,0.0042580506,0.060182214,0.012439857
Mex3c,0.016610421,0.052504744,0.02674489,0.15751036,0.041488364,0.079872645,0.09712652,0.10620185,0.22973947,0.15306683,0.17606014,0.1322803,0.092864804,0.086097114,0.044198558
Mex3d,0.023884112,0.0062050684,0.0049674083,0.02134159,0.014506349,0.079531565,0.017187184,0.04702777,0.08338718,0.07577228,0.068844594,0.06747365,0.019307368,0.024217509,0.0057865805
Mfap1a,0.106038146,0.02242842,0.024952376,0.073789,0.054963663,0.05227603,0.04365651,0.0700948,0.24026118,0.091355294,0.0749459,0.06563819,0.07103889,0.04698052,0.098985106
Mfap1b,0.08722691,0.022185493,0.025909634,0.07466788,0.036357876,0.1075673,0.016992003,0.07151449,0.20882489,0.08919712,0.068937294,0.107741594,0.063573115,0.05461803,0.061960213
Mfap2,0.04102918,0.12991863,0.028128427,0.06356259,0.027533293,0.26671612,0.023559786,0.16838612,1.6315248,2.6281903,3.0700967,0.6955833,0.21619901,0.363669,0.1347484
Mfap3,0.05592442,0.02680994,0.0024552208,0.08532003,0.026366819,0.013629606,0.071135275,0.08741894,0.18585543,0.13161807,0.08979376,0.10651226,0.06385402,0.046047453,0.04518779
Mfap4,0.10079116,0.18828282,0.088714525,0.104757704,0.11364989,0.29310626,0.09788397,0.1688729,0.7967883,0.27920407,4.705797,0.05150402,0.38621014,0.152205,0.35639623
Mfap5,0.14506623,0.2639887,0.047977865,0.14475632,0.06882905,0.2142928,0.059386913,0.23992467,0.88386196,2.561973,4.921429,0.07115415,0.38875285,0.14388874,0.27714604
Mff,0.13908269,0.20689915,0.57444423,0.7441904,0.67926264,0.62625694,0.6694853,0.39450312,0.7613086,0.54660577,0.46285525,0.3253212,0.39456052,0.3229045,0.36712164
